Vehicle_ID,Odo_Start,Odo_End,Fuel_Level,Damage_Flag
 CAR-18,"69,196 km","70,663km",0.78,0
car-28,"21,744km","23,052 km",0.4,0
CAR 28,"99,938 km",101171km,16%,0
car-23,"91,441 km","92,772 km",0.82,0
CAR 28,68602km,"69,641 km",0.83,1
CAR 01,95300km,"95,592 km",0.7,0
 CAR-24,39426km,"40,743 km",0.56,0
car-14,106587,108431,84 %,0
CAR 27,"85,955 km","87,777km",0.77,0
CAR-20,11615,12570,15%,0
 CAR-13,"89,223km","89,337 km",0.78,0
CAR-19,"76,755km",77102km,21 %,0
CAR-25,"76,929 km",78677,56%,0
car-21,104551,104171km,95 %,0
CAR 06,"102,965km",102899km,0.90,0
CAR-06,109328km,110060km,20%,0
 CAR-26,110351,"111,647km",1.00,0
CAR-09,64807km,"66,219km",0.32,0
CAR-22 ,16308,16834,52 %,1
CAR-28 ,87538,"87,199 km",42%,0
car-08,20119km,21873km,0.1,0
CAR-11,12000km,13347,77%,0
CAR-19,99661km,101481,0.9,0
CAR-03 ,6078,7226,93 %,0
CAR-08,"85,982 km",86898km,39%,0
 CAR-08,"51,464 km",51005,80 %,1
CAR-23,"80,163 km",81872km,50 %,0
car-19,7779,9588km,13%,0
CAR 06,60896km,62445,0.06,1
CAR-25 ,"5,086km","6,567km",0.72,0
CAR 03,11242km,"12,590km",98%,0
car-05,63574km,64140km,0.2,0
 CAR-17,77558km,"78,729km",0.7,1
car-04,"54,074km","56,002km",22 %,0
CAR-07,87404km,89391km,91%,0
CAR-11,"68,575 km",69069km,0.5,1
CAR-24,33827,"34,781 km",78 %,1
CAR-04,"28,682 km","29,979km",0.1,0
car-26,90069,91824km,72%,0
CAR 06,16949,18853,59 %,0
 CAR-22,"110,715km",111909,0.93,1
CAR-06,102828km,104055km,78 %,0
car-26,"103,529km",103987km,61%,0
CAR 18,"21,193 km",22356km,0.1,0
CAR-05,"12,763km","13,559 km",0.05,0
car-04,"7,555km","8,041km",1.0,0
CAR 05,"28,721km",29864,28%,1
CAR-17 ,"39,778km","40,436 km",0.79,0
car-04,"27,574 km",28354,0.4,0
CAR-16 ,13284,14434,0.77,1
CAR 04,"46,073 km","46,834km",88 %,1
CAR-30,13600km,"13,761 km",0.6,0
car-24,29142km,30219,24%,0
CAR-19,110311km,"111,128km",0.39,0
CAR-21,114297,116278km,0.67,0
car-11,32394km,33822,0.70,0
CAR-14,74546km,75303,0.6,0
car-15,"65,899km",66413,0.4,0
CAR 13,"104,668 km",105239,91%,0
car-13,"34,658 km",34488km,90 %,0
car-16,110280,"112,149 km",18%,0
 CAR-05,"88,125km","88,389km",31%,0
CAR-28 ,91539km,92793,90 %,0
CAR 24,39007,40011,32 %,0
CAR 21,55665,56162km,0.82,0
CAR-15 ,"118,893km","120,551 km",0.87,1
car-16,49321,49770,0.7,0
CAR-26,"35,287 km",35732,0.9,1
CAR-05,32485,33746km,0.9,0
CAR-22,"77,698 km",79634,0.5,0
 CAR-11,"72,939km",72760,0.13,0
CAR 24,"14,331 km",14363,0.65,0
CAR-13,10141km,10593km,59%,0
CAR-10,"94,573 km",96073km,77 %,0
CAR-13 ,105637km,107204km,0.41,0
 CAR-15,"101,921 km","103,645km",0.66,0
CAR 08,"81,100 km","81,860 km",0.41,1
CAR 02,14534,14041km,94%,0
CAR 20,114367km,115189,71 %,0
car-25,"33,047km",33264,0.88,0
CAR-22,40821km,"42,126 km",21 %,0
CAR 19,115158,"116,653km",50%,0
car-29,"116,391km",116825,0.88,0
 CAR-18,74037,75418km,59%,0
CAR-22 ,98265,"98,887km",0.93,1
 CAR-01,"41,036 km",42727,56 %,0
 CAR-07,"48,538km","50,379 km",50%,0
CAR-12 ,44909,46778km,0.58,0
car-29,"69,754km","71,102 km",0.7,0
 CAR-20,"9,909km",10052km,0.3,1
CAR-16 ,"11,301 km",12926,73%,0
CAR-03,14708km,"15,943 km",28%,1
CAR 12,17096km,"17,593km",0.08,0
CAR-14,"45,784km",45907,0.7,0
CAR-03,"35,345 km",37045,0.3,1
CAR-16 ,"110,552km",111499,19 %,0
car-18,"108,222 km","108,114 km",97 %,1
car-19,"63,163km","63,669km",0.30,1
CAR-29,20452,"21,110 km",0.09,0
 CAR-10,45486km,"46,932km",19%,1
CAR-18 ,85085,86972,24%,0
 CAR-25,"60,834 km","61,356 km",0.65,0
CAR 26,"116,684 km",117512,0.5,0
CAR 12,23866km,24871,0.72,0
CAR-18,107301,"108,279 km",0.1,0
CAR-25,96239km,96781km,7%,0
car-12,"57,052km","57,585km",0.82,1
CAR 12,100712km,"101,405 km",0.59,1
CAR 20,"90,687km",91715km,0.9,0
CAR-14,"39,492 km","40,458km",49 %,0
car-30,82338km,"83,559km",0.6,0
 CAR-07,"104,068 km",105897,53%,0
car-06,"117,642km","117,808 km",0.8,0
 CAR-03,64047km,"65,715km",21 %,0
CAR 10,97146,"98,281km",62 %,0
CAR 23,56725,58701km,0.99,0
car-14,106603,107204,59 %,1
CAR-07 ,77727,79199,6%,0
CAR-22 ,"79,925km","81,196 km",0.20,0
CAR 03,"44,553 km",45837km,36 %,0
car-16,"69,456 km","70,688 km",0.67,1
 CAR-27,69182,70471km,84 %,0
CAR-25,46907,"48,823km",15%,1
CAR-21 ,51875km,52794,67%,1
CAR-03 ,75761km,"76,069 km",9 %,0
CAR-17 ,62065km,62519km,78 %,0
 CAR-03,6040km,"6,970 km",13%,0
car-27,62245km,63820km,71 %,0
CAR 09,92452,93780,92 %,1
 CAR-02,62306,"63,540km",0.27,0
 CAR-04,"54,193 km","55,662 km",0.6,0
car-21,32589km,"33,489km",0.5,1
CAR-14 ,98206,98802,48 %,0
car-18,"8,413km","8,641km",0.7,0
CAR-27 ,"99,616km","99,558 km",0.3,0
CAR-10,63903km,64435,0.37,0
CAR-15 ,88985,"89,260 km",0.52,0
CAR-18 ,"5,570 km","6,766 km",0.62,0
CAR-10,50399km,51137km,84 %,0
 CAR-20,50717,"52,345km",0.72,0
CAR-21 ,75069km,76934,32%,1
CAR 27,"111,190 km",111417,74 %,1
CAR-21,14825,"15,528 km",74 %,1
CAR-09 ,38603km,"39,821km",56%,1
CAR-23 ,"112,671km","112,300km",0.66,0
CAR-15,36490,37592km,0.44,0
car-19,89836km,90720km,75 %,1
CAR-16,"108,701 km",109176,12 %,0
CAR 02,"105,712 km","107,577 km",53 %,1
 CAR-23,116315,"116,675km",89%,0
 CAR-06,"112,858 km",113801,0.36,0
car-07,"23,416 km","23,879km",0.2,0
CAR 26,"32,331 km","34,091 km",0.7,1
CAR 04,"69,416 km",71097km,13 %,0
CAR-15 ,81758,82270,60%,0
 CAR-08,22936,"24,128 km",84%,0
CAR-30 ,"112,116 km","114,113km",0.2,1
CAR-23,"79,845km","79,503km",0.6,0
car-08,"19,954 km",20427km,0.16,0
CAR-20,83222km,"84,519km",8 %,1
CAR 04,54446,54857km,0.9,0
car-30,43856,"45,028km",0.8,1
CAR 18,101104,102001km,20 %,0
CAR-01 ,"42,984km","43,241 km",0.9,0
CAR-10,102660,"103,767 km",44%,0
CAR-04 ,"75,152 km","76,605 km",0.71,0
CAR-03 ,"47,513 km",49310,0.55,0
CAR-15 ,9527,9036,81 %,0
car-08,"55,336km","56,470 km",55%,1
 CAR-19,31599,"31,961km",1.0,0
CAR 27,105621,"107,279km",0.50,0
car-15,6162km,6123,0.4,0
 CAR-17,"106,474km",106910km,33%,0
CAR-29 ,51408,51807km,25 %,0
CAR-03,"31,674 km",31458,48%,1
car-06,104378km,105142km,48 %,1
 CAR-19,"5,933km",7203km,26%,0
CAR-08 ,"38,589 km",39537km,0.79,0
CAR-26,"64,271 km","64,842 km",0.16,0
CAR 16,27748,28843,25 %,0
CAR-30 ,113148,113543km,0.1,0
car-16,"109,856 km",109966km,85 %,0
CAR 18,5600km,"6,648km",0.84,1
CAR-24,91308km,"91,649 km",40 %,1
CAR-13 ,42332km,"42,449 km",0.2,0
CAR-02 ,"20,816 km",21048,6%,0
CAR-14,7164km,7571,44 %,0
CAR-01,"33,545 km","35,089km",77 %,0
 CAR-18,9972,11549km,28 %,1
CAR 11,8723km,9839,0.63,1
CAR-10,"37,781 km","38,417 km",0.83,0
 CAR-06,"12,958km","14,519 km",0.4,0
CAR-20 ,30381,31882,0.23,0
CAR 09,74295,"75,974km",0.73,0
car-16,55887km,"57,173 km",54%,1
CAR 02,75313km,"77,241 km",26%,1
CAR-10,119811,"120,133km",0.90,0
 CAR-24,"66,365 km","66,839 km",99%,0
car-12,"32,164 km","32,438km",0.24,0
CAR-23,61339km,"62,830km",46%,0
 CAR-23,65977km,67872,0.22,0
car-20,"72,939 km","73,564km",0.49,1
CAR 08,"11,208km",13016km,0.3,1
 CAR-05,93706km,93754,88%,0
car-05,35173,"35,738 km",60 %,0
car-09,"69,328 km",70753,32%,1
CAR-26,"114,506km",114929km,78%,0
CAR-30,82052km,83665,23%,0
CAR-08,44898km,45433,0.43,0
 CAR-03,"96,449km",96635km,0.32,0
CAR-23 ,"75,878km",77529km,21%,1
CAR 17,67815,69079km,0.51,0
 CAR-24,105563km,"107,518km",37 %,1
car-25,"36,389km",37523,0.9,0
car-15,87629km,88313,76 %,0
 CAR-04,"40,954 km","40,973km",84 %,1
 CAR-15,"32,507km",33812,33%,0
CAR-08,51740km,"52,647 km",79%,0
CAR-08 ,"13,891km",14721km,0.68,0
car-16,"33,527 km","33,575km",45%,0
CAR-17,"52,849 km",53494km,0.7,0
CAR 08,56790km,"58,721 km",0.85,0
CAR-04 ,"19,162 km","21,136 km",0.7,1
CAR-05 ,"111,596 km",112918km,0.70,0
 CAR-06,21740,"22,275 km",0.78,0
CAR-13 ,84647,"85,894 km",39 %,1
car-26,"83,442 km","84,270 km",0.5,0
CAR 09,89659km,"90,473 km",72%,0
car-02,50699km,51531,59 %,0
CAR 28,93977,94699,0.76,0
 CAR-08,53410,"54,785km",0.7,0
 CAR-06,"115,029 km",115071,0.2,1
CAR-15,"106,800km","108,530 km",0.92,0
 CAR-15,110496km,"111,316 km",69 %,0
CAR 13,110852,111064km,70%,0
CAR-12 ,64472,65393km,0.5,1
 CAR-13,"35,821km","37,335km",0.49,0
CAR 09,98154,"98,947 km",28 %,0
CAR-21 ,"30,251km","31,632 km",24 %,0
CAR-27,"52,644 km","52,399km",0.50,0
CAR 10,"22,086km",23148km,40 %,0
CAR 10,"57,405km",58130km,0.19,1
CAR-25 ,"85,910km","87,803km",80 %,0
CAR-22 ,"83,688km","84,057km",5%,1
CAR-30,"13,302km",14139km,7 %,0
CAR 23,"97,545km",98468,0.48,0
CAR-12 ,"101,683 km","103,611 km",62%,0
CAR-20,7362,"7,688 km",0.70,0
 CAR-26,25104,"27,067km",43 %,0
CAR 25,57083,"57,054km",42%,0
CAR-21 ,"46,456km",47198,51%,0
 CAR-27,21991,22924,33%,0
 CAR-07,117283,117525,88%,0
CAR 26,19800km,20204km,0.27,0
car-11,"82,489km","84,356 km",1.0,0
CAR-08,"70,674 km","71,156 km",93 %,1
CAR-25 ,"37,009 km","37,487km",0.7,0
CAR-06,117293km,"116,830 km",0.92,0
car-15,77935,79889km,28 %,0
CAR-22,119768,"120,006 km",41%,0
CAR-04,"28,479 km",30068km,94%,0
car-19,"71,267km","72,951 km",28%,0
CAR-08 ,"11,813 km","11,928km",26 %,0
car-14,74389,74846,13%,1
CAR-29,57686,59609,13 %,0
car-15,107911,109190km,20%,0
car-11,88190km,89033km,0.2,1
CAR 27,118767km,"119,773 km",0.55,0
CAR 09,"98,285 km","99,799 km",0.3,1
CAR-19 ,17168,18944km,0.5,1
car-04,54756km,55518km,0.1,0
 CAR-21,110371,110689,0.6,0
car-25,"27,670km","27,878km",0.5,0
CAR-08,"95,855 km","96,256km",84 %,0
 CAR-23,"94,680km",94753,0.8,0
car-04,"71,648 km",72615km,0.79,0
CAR 01,117785,"118,650 km",41 %,0
CAR-02,38761,"39,291km",0.45,0
CAR-24,32415,32347km,0.4,1
CAR 07,49096,"50,412km",94 %,0
CAR-19 ,106518,"106,877 km",0.2,0
 CAR-26,"80,421 km",80839,0.99,0
 CAR-13,95942km,"97,891km",34%,1
CAR 07,72733km,72919,0.9,0
CAR 22,"44,406 km","45,489 km",0.50,0
CAR-15 ,"96,770km",98243,86%,0
 CAR-11,"68,189 km","69,979 km",8%,1
car-11,110843km,"111,797 km",0.14,1
CAR-16 ,78153km,"79,826km",0.51,0
CAR-02,91315km,92232,0.53,0
CAR 30,52901,54393,0.2,0
car-21,46738,47098km,54 %,0
car-02,"22,235km",23327,0.79,0
CAR 19,"89,632km","89,673 km",21 %,0
CAR 29,"74,976km",74577,75%,0
CAR-01,"92,623km",94578km,80 %,0
CAR-06,"78,082km",79004km,87%,1
 CAR-28,"58,970km","60,008km",0.80,0
CAR-06 ,81304,82247km,59%,0
CAR 23,107903,109109km,0.8,0
CAR-14,"119,020km",119162,0.9,0
CAR 16,5259,"6,354 km",32%,0
CAR 17,100127,101381,25 %,0
CAR-09,"68,974 km",68482,0.66,0
CAR-03 ,"68,326km",68756km,70 %,0
 CAR-18,"92,971km",93656km,83%,0
CAR-01,17551,18621,0.25,1
 CAR-02,47106,48575km,6 %,1
CAR-03,5163km,"5,621 km",65 %,1
car-06,106186,"107,244 km",41%,0
car-21,23033km,23664,0.6,1
 CAR-02,"75,952km","77,168km",0.86,0
CAR-26 ,"72,189 km",73380,0.34,0
 CAR-26,13158,15095,0.8,0
CAR-24,96724,"96,883 km",0.7,0
CAR 24,91429km,92723,87%,0
car-20,"22,281 km","23,952km",0.18,0
CAR-01,14660km,"16,653km",0.25,1
CAR-28 ,"8,610km","10,531km",0.2,0
CAR-04 ,65936km,66284,23 %,0
CAR-14 ,"79,857km",80151km,40 %,0
car-03,73842,75723,0.43,0
CAR-22,"98,744km","99,746km",0.20,0
CAR-04,80842km,"81,642km",0.5,1
CAR-08,"81,473 km","82,752km",33 %,0
CAR 03,"12,529 km",13590km,0.5,0
CAR 16,88255km,"89,987 km",88 %,1
CAR-12 ,88218,88765km,60 %,0
CAR-13 ,"55,624 km",56593,17%,0
CAR-15,114026km,115587,72 %,0
CAR-30,112370,"113,713 km",0.16,0
car-16,"83,460km","83,513km",92%,0
CAR 06,"24,033km",25150km,72%,0
CAR-16,82964km,"83,601 km",0.39,0
CAR 06,18413km,"19,635km",0.50,0
CAR-19 ,"36,527km",38517km,82 %,0
CAR 08,"105,950km",107697km,40%,1
CAR-20,66857,68760,0.26,0
CAR 11,69758km,70590,0.54,0
CAR 19,31176km,"31,372 km",0.39,0
CAR-25,"22,739 km",23515km,0.29,0
CAR 06,115289km,115329,14 %,1
CAR-12,"53,694 km",53207km,0.35,0
car-18,70132,71137,0.8,0
car-20,115875km,"117,549 km",36%,0
CAR 01,77403km,"79,097 km",0.43,0
car-24,"106,268 km","106,382km",0.1,0
CAR-12 ,34552km,"34,461km",0.90,0
CAR-01,13487,14445,0.4,0
CAR-29 ,"42,517km",43608,76 %,0
CAR-17,"66,611 km",66564km,22%,0
 CAR-10,"28,393km",29279km,0.4,0
CAR-04 ,"99,398km","99,641km",17 %,0
CAR-20,"116,027 km","116,845 km",0.75,0
CAR-14,29147,"30,769km",0.44,0
CAR-08,115552,"116,694km",1.0,1
CAR-11 ,42397km,43458,0.2,0
CAR 13,34794,36028,0.53,1
CAR-09,58193,"59,565km",89 %,1
car-20,"65,024km","66,652km",36 %,0
 CAR-24,113054,114870km,0.42,1
car-18,"52,493 km","53,775 km",20 %,0
CAR-14 ,"29,649km","30,460 km",28 %,0
CAR-19 ,36268km,37297km,0.29,0
CAR-18,87342,"88,499 km",87 %,0
CAR 03,72389,"74,133km",0.5,0
car-30,112537km,"113,421km",0.48,0
CAR-01,60294,60402km,68 %,0
car-22,77709km,"78,728km",0.3,0
CAR 01,67408,67944,63%,1
 CAR-08,"69,421 km","71,191km",0.53,0
CAR-29,40909,42305,55%,0
 CAR-27,"77,361 km",78474km,0.93,0
 CAR-23,"109,371 km","111,025 km",66 %,0
CAR-02,5197km,"6,754 km",28%,0
CAR 28,94629,95736km,82%,0
car-21,"20,454 km",22362km,88%,1
CAR-09 ,101702km,"102,999km",0.60,0
CAR-30,9179km,"10,937km",0.93,0
CAR-08,115916km,"117,596km",80 %,0
CAR 10,"117,989km","118,571km",44%,0
car-18,41064km,"42,897 km",27 %,0
CAR 07,19844,"21,555 km",0.18,0
CAR 01,24295km,25933,0.3,0
CAR-06,"39,578 km","40,324 km",0.2,0
CAR-28 ,"44,599km",45636km,8 %,0
CAR 03,"104,631 km",105203,75%,0
car-14,117667km,118347km,33 %,1
 CAR-15,"24,044 km","25,731 km",0.29,0
CAR 23,"5,536km",7157,0.09,0
car-09,100116km,"101,058 km",0.8,0
 CAR-06,"39,701km","39,799km",0.2,0
 CAR-01,92226km,92643km,52 %,0
CAR 29,54973km,54985km,62%,0
 CAR-10,"25,318 km","27,008 km",18%,0
CAR-21 ,"68,284km",69683,40 %,0
CAR-20 ,87420km,"87,607km",95%,0
 CAR-12,"5,506 km","6,536 km",0.38,1
CAR-16 ,28721,"29,554 km",26 %,0
 CAR-06,"89,002km","90,910 km",55%,0
 CAR-20,"89,361 km",89595km,0.98,0
CAR-17 ,95673km,96342km,83 %,0
CAR-22 ,21461,"22,612 km",7 %,0
CAR-19,107521,"108,838km",0.8,0
CAR 25,18885km,20475km,53 %,0
CAR-16,"13,641 km","15,231km",0.7,0
 CAR-19,"106,478km",106879km,47 %,0
CAR-12,"81,420 km",82688,6%,0
 CAR-17,"104,956 km",104933,39 %,0
car-10,"40,239 km","41,704km",0.5,0
CAR-18,23116km,"23,992 km",0.76,1
CAR-22,33085,34213km,8%,0
CAR-23,"47,716km",49510,56 %,0
car-27,69861,"71,229 km",77%,0
 CAR-26,"76,146 km","77,623 km",0.1,1
 CAR-02,"28,269 km",28505,11%,0
CAR-18,100884km,"101,816km",1.0,0
CAR 05,"70,560 km","70,673 km",24%,1
car-27,"46,592 km",47026km,0.1,0
CAR-29 ,"82,458 km",82515km,0.4,0
CAR-02,"27,685km","29,186km",0.59,0
car-19,"43,104km","44,742 km",9 %,0
CAR 28,"94,832km",95852km,0.3,0
 CAR-09,110937,112540,0.69,1
CAR-01 ,"59,896km","60,242 km",0.1,1
 CAR-30,"51,256km",53183km,0.56,0
car-11,85421,"86,047km",50 %,0
CAR-04 ,"66,311 km",67566,38%,0
CAR-13 ,76380,76917km,0.9,0
CAR-24 ,"90,189 km",90620,0.5,0
car-11,"31,147km",32230,0.1,0
car-11,"70,864 km","72,064 km",10%,0
car-10,72762km,73858,0.2,0
CAR-09,"88,906km","89,021 km",76%,0
CAR 14,14790km,"15,576km",0.32,0
 CAR-28,"99,368km",99389km,0.22,1
car-28,"53,011 km","53,417 km",0.2,1
 CAR-21,"114,519 km",115190km,0.92,1
CAR 06,42170,42362,25 %,0
CAR-15,53638,54388,0.1,1
CAR-05,57286km,"57,342 km",53%,0
CAR 19,70294km,"70,832 km",85 %,0
 CAR-29,53261,"54,686 km",37 %,0
CAR 12,"88,394 km","89,942 km",0.3,1
CAR 12,"55,938km","56,715 km",0.4,0
car-04,"67,572 km",67999,50%,0
CAR-07 ,"74,209 km",74825km,0.8,1
CAR-01 ,"54,415km",56306,0.7,1
CAR 28,"44,521 km","46,259km",0.1,1
car-19,"100,037km","102,009km",0.6,1
 CAR-17,92965,94716km,61 %,0
CAR-16,"102,042 km","102,891km",14 %,1
 CAR-19,"15,336km","16,095 km",12%,0
CAR-15 ,108005km,108667km,11%,0
 CAR-19,117394km,118398km,37%,0
 CAR-04,86920km,88916km,40%,0
car-20,"51,566km",52756km,28%,1
CAR-11 ,72988km,"73,875 km",0.4,0
car-02,79244km,"79,408km",28%,0
CAR-20 ,25988km,"27,447km",0.74,0
CAR-22 ,"12,194km",12821,0.3,0
CAR-25,"119,982 km",121691km,83%,1
car-23,8276km,9096km,0.18,0
 CAR-26,85054,84829km,0.40,1
 CAR-30,"64,321 km",66087km,0.2,0
CAR-20 ,46964,"48,637km",31 %,0
car-12,"80,541 km",80721,0.9,0
CAR-26,"42,019km","43,620km",33 %,0
car-26,84541km,85547,19 %,0
CAR-23 ,34769km,35849,83 %,0
CAR-27,102205km,"103,305 km",0.3,0
CAR 16,33637,35415km,78%,0
car-19,"37,802km","39,034 km",0.83,0
CAR 03,119825,"121,098km",0.25,1
CAR-22,"56,811 km",58808,97%,0
CAR-04,"119,697 km","120,076 km",0.4,0
 CAR-08,"43,009 km","44,815km",0.7,0
CAR-04 ,"54,526km","56,164 km",0.45,0
CAR 24,"66,515km","68,188km",0.3,0
car-06,"10,828km","11,958 km",0.76,0
CAR-08,"33,401 km",33655km,0.45,0
CAR-07,106360,"106,977km",0.80,0
CAR 10,38338km,39045km,9 %,0
CAR-20 ,"9,172 km","10,002 km",0.12,0
CAR 25,111990km,"113,433 km",0.31,1
CAR 26,"79,408km",80948km,0.06,0
CAR 24,91022km,91525,0.86,0
 CAR-21,117143,117193km,0.81,0
CAR 17,102805km,104517,0.94,1
 CAR-12,57285,58966,77%,1
 CAR-29,"66,616 km",66889,5%,0
car-04,"98,088km","98,690km",0.44,0
car-30,"95,905 km",96355km,82 %,0
 CAR-02,"15,664 km",16022km,11 %,0
 CAR-07,"66,571km","66,900km",60%,0
car-10,93558km,94485,0.74,0
CAR-29,88509,"89,477km",56 %,0
CAR-20,106540,107471km,99%,0
CAR-08 ,"13,442 km","13,927km",99%,1
 CAR-17,"91,492km",92521km,33 %,0
CAR-17,"62,862 km","64,574 km",55 %,0
car-25,75964km,"77,372 km",0.37,0
CAR 20,"38,348km",39301,84 %,0
CAR-11 ,99608km,"101,368 km",71 %,0
CAR-13 ,18341km,"18,966 km",12 %,0
car-15,"26,589 km","27,780 km",17%,0
CAR 16,13617,"15,092km",0.58,0
CAR-17 ,48817,50743km,79%,0
car-30,"110,246 km","111,213km",45%,0
CAR-14 ,83558km,83537km,0.4,0
car-08,41775km,43047km,62%,0
CAR 22,"71,333km",71546km,0.6,0
 CAR-17,"21,985km",22368km,61 %,0
 CAR-04,"74,773 km",74984,0.95,0
car-29,"51,015km",51642km,88 %,0
CAR 03,"87,953km","89,660km",0.69,1
 CAR-12,57330,59031km,91 %,0
CAR-05 ,"19,179 km",20972km,51 %,0
CAR-06,"96,514km",97139,0.6,0
 CAR-17,104491,"106,398 km",20 %,0
 CAR-13,"10,141km",11299,0.95,0
CAR 18,115761,117277km,74%,0
 CAR-23,"23,441km",24639,0.80,0
CAR-26 ,"100,198km","100,947km",19 %,0
CAR-03 ,"27,330 km","27,602 km",97 %,0
CAR-01,"47,914km",49418,0.23,0
CAR-10 ,59075km,60746,21 %,0
car-19,"47,258km","47,915km",0.4,0
car-21,28736,"29,289 km",28%,1
CAR-28,64525,65849,33 %,0
CAR-05 ,39848,"40,842 km",53 %,0
CAR-05 ,72173km,"72,230km",7 %,0
CAR 13,38308km,"39,786 km",46 %,1
 CAR-26,94725km,"96,430km",0.44,0
CAR-16 ,"44,549 km",46464,0.7,1
CAR-25,"9,203km",10191,51%,0
CAR-19 ,16455,16979,0.7,0
CAR-26 ,"94,481km","95,437km",0.55,1
CAR-17,"84,109 km","84,826km",0.28,0
car-19,"13,487km","14,809km",56%,0
 CAR-11,"34,486km",36236km,15%,0
 CAR-07,45752,"46,772km",0.05,0
 CAR-19,83922km,"85,877km",7%,0
 CAR-11,87189,"87,988 km",0.10,0
CAR 09,"37,677km",37954,76%,0
car-07,61540,"61,586 km",20%,1
CAR-13,"89,084 km",90934km,0.8,0
 CAR-11,79407,"79,847 km",1.0,1
CAR-09 ,"34,153km","33,658km",15 %,0
CAR-02 ,"10,927km","11,130 km",71%,1
CAR-13,57747km,"59,573 km",0.5,1
CAR-24,"6,851 km","8,418 km",66 %,0
CAR 06,"42,376 km","43,095km",23 %,1
CAR-17,44583,46412,0.41,0
 CAR-14,"96,282km",98156,70%,0
CAR 17,72028,72845km,27 %,1
CAR-20,42588,42598km,0.6,0
car-11,"74,993 km",76496,0.8,0
car-13,"52,096 km","54,089 km",0.67,0
CAR-13,"53,682km",53795km,74 %,0
car-16,"13,201 km","14,743km",63 %,0
CAR 01,"31,621km",33222,0.5,1
car-19,"87,220km","87,480 km",55%,1
car-21,25064km,"26,850km",82%,1
CAR 20,"49,245km","50,073km",93 %,0
CAR-12,"105,534 km","106,856 km",0.1,1
CAR-15 ,"16,057km","17,696 km",0.6,1
car-09,"41,804km","42,486 km",28%,1
CAR-04,"79,064km","79,917km",0.17,0
CAR-09,"73,756km",74710,82 %,0
CAR 07,"108,363km",110072,0.1,0
CAR-27,"11,318km",12845,97%,0
CAR-29,54025km,54268km,26%,1
CAR-08 ,22887,23817km,91 %,0
CAR 05,"84,272 km",84513,33 %,0
car-07,43285,"44,420km",95 %,0
CAR-10 ,104016km,"105,055 km",49%,0
car-25,67412,68975,100%,0
CAR 23,"89,012km",89164,27%,0
CAR 18,"10,238km","10,641 km",55 %,0
CAR 14,116947,"117,804 km",81 %,0
CAR-12 ,"85,934 km","86,078 km",62 %,0
car-25,"44,170km","45,865 km",80 %,1
CAR-21,"75,543km",77276,0.3,0
CAR 15,"75,168 km","76,624km",34 %,0
car-15,37742,37859,0.6,1
 CAR-29,"25,651km","27,648km",0.26,0
CAR-27 ,114651km,116607,16 %,0
 CAR-23,99374,"100,059 km",1.0,1
CAR-21,"26,715km",28117,0.9,0
CAR 28,82676,83648km,0.63,0
CAR 04,96758km,"96,673km",35%,0
CAR-12 ,"113,351 km","113,212km",6%,0
CAR 04,"115,453km","116,872 km",91%,1
car-09,54077km,55831,0.4,0
CAR 22,70869,"70,939km",51 %,1
car-17,"101,536 km",103264km,0.7,0
 CAR-27,110849km,"110,839km",45 %,0
CAR 23,94815km,"95,464km",26%,0
 CAR-09,66204,67892km,0.7,0
 CAR-13,"43,522km",43985,0.63,0
CAR-21 ,48565,"50,192 km",0.49,0
CAR-02,"110,446km",110940km,0.3,0
CAR-23 ,85709,86197,34%,0
CAR 30,"59,307 km",59485km,0.50,0
 CAR-11,111278km,"111,158km",82 %,0
CAR-15,5420,6829,0.4,1
 CAR-25,"50,411 km","50,782 km",0.54,0
car-23,114712km,"115,094km",0.8,0
car-06,5674km,"5,719 km",57 %,0
 CAR-03,"30,525km",31885,19 %,0
CAR 13,8566km,9672km,0.5,0
CAR-08,"113,082km","113,923 km",0.67,0
 CAR-17,"102,367km","103,666km",0.52,1
CAR-06,7836,9464km,47 %,0
car-05,99858km,100945,0.5,0
CAR 27,"90,693 km",90755,0.3,0
CAR-14 ,71913,"73,886 km",39%,0
car-06,"16,360km",17356,0.2,1
car-10,43072km,"43,923 km",1.0,0
CAR-04 ,78991,80783km,0.3,0
CAR-02 ,"40,651km",42429km,51%,0
CAR-16,114950,"116,598km",28%,1
 CAR-01,111641,113408,61 %,0
CAR-25,17280,"18,144km",0.2,0
CAR-01,"39,430km",40112km,0.24,0
CAR 01,"64,582km",64641,32%,0
car-11,"28,332 km","28,967km",86%,0
CAR-01 ,74048km,"74,541km",0.67,0
 CAR-29,"75,463km",76897,92%,1
CAR-27,"86,164 km","87,466 km",39%,0
CAR-21,"5,516 km",7388km,20%,0
car-29,"63,640km",64109,0.6,0
CAR-14 ,"75,824 km",76604,74%,0
CAR-29,"84,637km","86,011 km",0.90,0
CAR-13,10797km,"11,119km",0.14,1
CAR 19,104175km,"106,075 km",86 %,0
CAR-23,87871km,"87,930 km",0.1,0
CAR-10 ,12401,13072km,80 %,1
CAR-08,"103,371km",104352km,0.8,0
CAR 05,"110,028km","111,269km",0.9,0
CAR 07,"86,332 km","86,871km",53 %,0
CAR 23,"8,213 km",8116km,94%,0
CAR-25 ,"27,778km","29,357km",75 %,0
CAR-07 ,101147,101658,99%,0
CAR-27,"104,819 km","105,886km",0.53,0
